iter	Passed	Remaining
0	213	212929
1	216	108227
2	220	73229
3	224	55782
4	227	45297
5	231	38297
6	234	33330
7	238	29588
8	242	26674
9	245	24320
10	248	22374
11	252	20801
12	256	19475
13	258	18216
14	262	17236
15	265	16337
16	268	15548
17	271	14818
18	274	14186
19	277	13599
20	281	13111
21	284	12654
22	287	12218
23	290	11818
24	293	11464
25	297	11131
26	299	10802
27	303	10541
28	307	10279
29	310	10046
30	312	9757
31	316	9572
32	319	9374
33	323	9189
34	327	9020
35	330	8858
36	334	8694
37	337	8541
38	341	8409
39	344	8265
40	348	8143
41	351	8013
42	354	7895
43	358	7786
44	361	7676
45	365	7570
46	369	7491
47	373	7413
48	377	7332
49	381	7255
50	386	7183
51	390	7121
52	394	7047
53	399	6994
54	402	6915
55	407	6870
56	410	6797
57	415	6743
58	420	6710
59	426	6681
60	433	6670
61	436	6603
62	438	6525
63	440	6442
64	441	6356
65	443	6270
66	445	6197
67	446	6118
68	447	6040
69	448	5962
70	450	5893
71	451	5823
72	452	5751
73	453	5679
74	454	5610
75	456	5548
76	457	5488
77	459	5425
78	460	5364
79	461	5304
80	462	5252
81	464	5194
82	464	5131
83	465	5074
84	466	5020
85	467	4971
86	469	4923
87	470	4876
88	471	4827
89	472	4779
90	474	4736
91	475	4692
92	476	4648
93	477	4603
94	478	4559
95	480	4522
96	481	4482
97	482	4441
98	483	4400
99	484	4359
100	485	4321
101	486	4287
102	488	4253
103	489	4216
104	490	4181
105	491	4149
106	493	4116
107	494	4081
108	495	4049
109	496	4015
110	497	3984
111	498	3954
112	500	3925
113	501	3895
114	502	3864
115	503	3834
116	503	3803
117	505	3776
118	506	3749
119	507	3722
120	508	3694
121	509	3666
122	510	3640
123	511	3616
124	512	3590
125	513	3564
126	514	3536
127	515	3512
128	517	3491
129	518	3468
130	519	3445
131	520	3422
132	521	3398
133	522	3379
134	524	3357
135	525	3337
136	526	3314
137	527	3293
138	528	3274
139	530	3255
140	530	3234
141	531	3212
142	532	3192
143	533	3172
144	535	3156
145	536	3137
146	537	3120
147	539	3103
148	539	3083
149	540	3065
150	542	3047
151	543	3031
152	544	3013
153	545	2995
154	546	2980
155	547	2963
156	548	2946
157	549	2929
158	550	2912
159	551	2895
160	552	2876
161	553	2861
162	554	2846
163	555	2830
164	556	2815
165	557	2801
166	559	2791
167	560	2777
168	562	2764
169	563	2750
170	564	2736
171	565	2723
172	566	2709
173	568	2696
174	568	2682
175	570	2669
176	571	2657
177	572	2644
178	573	2632
179	575	2620
180	576	2608
181	577	2596
182	579	2585
183	580	2573
184	581	2560
185	582	2547
186	583	2535
187	584	2524
188	585	2511
189	586	2500
190	587	2489
191	588	2478
192	590	2468
193	591	2458
194	593	2448
195	594	2438
196	595	2426
197	596	2416
198	597	2405
199	598	2395
200	600	2385
201	601	2375
202	602	2366
203	604	2358
204	605	2347
205	606	2336
206	607	2327
207	609	2318
208	610	2309
209	610	2298
210	611	2288
211	613	2278
212	614	2269
213	615	2261
214	616	2251
215	617	2242
216	618	2233
217	619	2223
218	621	2215
219	622	2206
220	623	2198
221	624	2189
222	626	2181
223	628	2176
224	629	2167
225	630	2159
226	631	2151
227	632	2141
228	633	2133
229	634	2125
230	636	2117
231	637	2108
232	637	2100
233	638	2091
234	640	2084
235	641	2077
236	642	2069
237	644	2062
238	645	2054
239	646	2048
240	648	2040
241	649	2032
242	650	2025
243	651	2019
244	653	2012
245	654	2005
246	656	1999
247	657	1992
248	658	1984
249	659	1977
250	660	1970
251	661	1962
252	662	1955
253	663	1948
254	664	1942
255	666	1935
256	667	1928
257	668	1922
258	669	1915
259	670	1909
260	672	1903
261	673	1896
262	674	1889
263	675	1883
264	676	1877
265	678	1870
266	679	1864
267	680	1857
268	681	1851
269	683	1846
270	684	1841
271	685	1834
272	686	1828
273	687	1822
274	688	1815
275	690	1810
276	691	1805
277	692	1799
278	693	1793
279	695	1787
280	696	1782
281	697	1776
282	698	1770
283	699	1764
284	701	1759
285	702	1753
286	703	1747
287	704	1741
288	705	1736
289	706	1730
290	708	1725
291	709	1719
292	710	1714
293	711	1708
294	712	1702
295	713	1696
296	714	1691
297	715	1685
298	716	1680
299	717	1675
300	718	1669
301	719	1663
302	721	1658
303	722	1653
304	723	1648
305	724	1643
306	725	1638
307	727	1634
308	728	1629
309	729	1624
310	730	1619
311	732	1614
312	733	1609
313	734	1604
314	735	1599
315	736	1594
316	737	1589
317	739	1586
318	740	1581
319	741	1576
320	742	1571
321	743	1566
322	744	1561
323	746	1556
324	747	1551
325	748	1546
326	749	1541
327	750	1537
328	751	1533
329	752	1528
330	753	1523
331	754	1519
332	755	1514
333	757	1509
334	758	1505
335	759	1500
336	760	1496
337	761	1491
338	762	1487
339	764	1483
340	765	1478
341	766	1474
342	767	1469
343	768	1465
344	769	1460
345	770	1456
346	771	1452
347	772	1447
348	773	1443
349	774	1438
350	775	1434
351	776	1429
352	778	1426
353	778	1421
354	780	1417
